u.name,u.funny,u.fans
Nichole,128,22
Estefany,49,9
Guisela,184,16
Ashton,4,1
David,2,0
Dan,234,24
Roman,11,0
Leah,860,114
Keila,17,1
Andrea,6,3
Autumn,116,13
Lou,13,1
Brena,21,2
Louie,124,14
Gem,41,2
Jim,71,3
Kate,22,4
Joe,26,0
Zackery,13,0
Hank,284,11
John,52,7
Steffie,64,12
Chris,0,0
Mehrdad,54,5
N,0,0
RJames,12,1
Karen,317,16
Jessica,4,0
JR,676,52
Reena,947,99
Marisa,2,1
Crystal,1,0
Michael,1,0
Deborah,2,1
Gil,18,2
Linda,1107,163
Jaclyn,81,6
Kimberly,0,0
Mo,3,0
Wendi,58,13
Alina,4,1
M,20,1
Mary,3110,331
Celest,3,1
Kim,61,5
Christi,0,1
Junko,18,3
Kayla,0,0
Mykel,0,0
Dena,0,0
Bob,0,0
Sara,8,0
Steven,2,0
Jen,5,0
Anela,4,0
Larry,6,0
Renée,18,3
Cynthia,3531,90
Lauren,1125,58
Kathleen,3,4
Ebony,2,0
Vivi,0,0
Peter,18,10
Mike,13,2
Darren,165,14
John,590,33
Bishop,36,0
matthew,69,5
Becky,701,13
Kim,32,0
Jana,44,6
Aaron,0,0
Lieutenant Commander Philanderer,25,0
Bri,25,0
Rebekah,383,50
Jordan,2,0
Carl,1,0
Jacquar,25,16
Maggie,0,0
Kristen,327,40
Joe,34,1
Brittney,36,4
Syl,1,0
Eddie,1,0
Paul,199,5
Jessica,558,33
Jodi,15,3
s,3,1
April,1,0
James,4,0
Champ,816,43
Brett,72,11
Kalila,51,7
Mrandmrsspradlin,3,1
Ben,1,1
Fred,0,0
Danielle,30,5
Heather,18,1
Daniel,0,0
Brittany,0,0
Lionel,88,8
Mocha,141,4
Steven,164,15
Jennifer,14,0
Aush,35,3
T-Bone,440,34
Christopher,1,0
Jacqueline,2,0
Rayshawn,5668,164
Kerry,20,1
Joe,25,2
Ron,11,4
Joel,29,0
William,51,5
Deya,64,12
Morgan,0,0
Missus,84,9
Brookie,46,7
Rebecca,1182,63
Shawn,7,0
Michael,0,0
Aaron,1,0
Valerie,21,0
Kehaulani,1,0
Dan,2,0
Amanda,29,1
Rick,4,2
Mike,13,7
Brooke,2,0
Lucia,0,1
Cameron,2,0
Jonnel,2,1
David,0,0
Carol,16,0
Angus,2,0
Kay,2,0
Sherry,12,0
Sophia,0,0
Jim,0,0
K,1,0
Kimberly,2,1
Kathy,2,0
Scott,11,0
Dee,131,9
Coupon,0,0
Josephine,15,0
Mandy,6,0
jordan,2,1
Lindsay,3,2
Monica,15,1
Max,117,10
Linda,1,0
Connie,4,0
Shelby,1,1
Shoosh,2,0
Momma,0,0
Deena,1,0
Tammy,3,0
Tracy,0,0
Skylar,0,0
Mary,8,0
Pam,4,0
Tamara,2,1
Alex,1,1
Melanie,19,1
Chris,4,0
Chase,3,0
Amy,1,0
J,86,16
Lu,11,2
Rachel,190,27
Wendy,2,0
Lisa,7,0
Mary,8,2
Douglas,3,2
Kimberly,124,15
Niki,6,8
Verbena,1,0
Kristin,0,0
Courtney,35,0
Christina,1,0
Holly,0,0
Beth,1,0
Gwen,2,3
Kellie,102,35
Robin,0,0
Paul,0,0
Sara,0,0
Maria,262,12
Melissa,39,5
Elizabeth,83,9
Brooklyn,0,0
Sydney,4,0
Mon-Cheri,42,2
Suzanne,13,0
Amanda,0,0
Anna,16,0
Joseph,10,3
Mallory,659,49
Gina,2,2
Amy,1,0
G,1,0
Michelle,81,4
A,0,0
Ray,2,0
E,1,0
Lola,150,6
Sam,0,0
P,3,0
Tim,30,1
Lauren,0,0
Gigi,3,0
Erin,2,0
Mark,0,0
Scott,2,1
Julia,16,2
Rachel,40,2
Campbell,29,3
Mahrad,40,7
Iffy,158,28
suzanne,0,0
Michele,128,17
Lauren,3,1
Kelsey,12,4
T,7,0
Casey,0,0
Natasha,16,3
Leila,0,1
Lisa,1,0
Melanie,0,0
Erica,3,0
Nelly,0,0
Cari,0,0
Christine,64,22
Angela,2,0
Alexandra,31,1
Suzie,0,0
Kailee,1,2
Sameena,5,2
Ashley,2,1
Nicole,122,14
Casey,2,0
Ashley,6,0
James,4,0
Sean,1,0
James,5,0
Kayla,6,2
Lori,3,0
Jazlyn,22,11
Jamie,0,0
Gary,2,0
Brooke,4,0
Jana,0,0
Penelope,8,2
Sarah,3,1
Paige,0,0
Shannon,5,0
Jessika,2,0
Rafael,23,2
S,12,4
Alisa,1,0
Lee,16,0
Chelsea,14,3
Nathan,3,1
Mariela,3,0
Eddie,9,0
Tracy,0,0
Ruben,13,2
Jessica,15,1
Daisy,3,0
Nathan,5,1
Margaret,2,2
Foster,14,0
Gregory,19,1
Chrishana,53,8
Chris,10,0
Jason,9,1
Tony,2,0
Cathy,2,0
Mark,0,0
Peggy,16,1
Laura,1,2
Michelle,834,39
Amy,69,15
Tiffany,0,0
Genevieve,39,9
Dennis,16,1
Amanda,0,0
Matt,1,0
C,66,3
Elizabeth,387,14
Christopher,21,7
Teresa,7,1
T,2,0
Johnny,1023,26
Eric,28,4
Steven,1,2
Suzie,3,0
Courtney,3,0
Motoo,2,0
Yvette,44,4
Monica,1,2
Mary,34,2
Cynthia,65,6
Tiffany,1,0
Steven,1,0
Van,148,15
Cameron,649,115
Jeniece,6,0
Gwen,65,2
Ashley,106,13
Jason,484,36
Samanta,1020,44
Jennifer,0,0
B,5,0
Sue,99,4
Aaron,1,0
Linda,19,5
Rob,12,2
Carmelo,0,0
John,0,0
Camron,2716,76
Kandace,41,12
Eliza,7,1
Brian,12,0
Tina,32,3
Tom,80,6
Danielle,4,2
Danilo,28,11
Ebone',65,5
Julie,2,0
J,18,8
Ashlee,25,1
Mari,17,0
Jen,127,16
Marco,14,5
Natasha,10,0
John,16,4
Sofia,19,2
nick,6,0
Izzy,0,0
SHAWNA,36,11
Fred,39,0
Alexandria,1,0
Amy,29,1
Kelly,1,0
David,16,0
Laura,45,1
Melanie,57,4
Henry,33,3
Amie,337,19
Jerry,55,3
C,32,2
Don,13,2
April,396,47
Jill,10,2
Andrew,0,0
C,135,2
Christina,263,36
Sandy,18,1
Brian,56,3
Maggee,8,4
Ali,168,35
T,0,0
Victoria,418,47
Wako,4,0
Katie,74,6
Jeremy,374,40
Deb,121,5
Mark,29,5
Alexis,12,4
Alyssa,0,0
Big,26,6
Mike,64,6
Todd,2,0
Scott,15,4
Lea T.,42,1
Soleil,5,0
Mary,83,15
Ashley,14,1
William,388,41
Anita,0,1
Sarah,1,1
Katie,0,0
Stephen,4173,191
Adam,8,8
Tanaya,4,1
Chris,7,0
BOB,1,0
Joe,8,0
Niki,18,8
James,4,0
Mark,49,5
Jessalynn,114,8
Rainey,2,0
Scott,14,0
Hp,139,2
Sharon,52,6
Jimbo,24,1
John,22,4
Joe,2,0
Rachel,13,0
Katy,2,0
A,229,17
Joel,855,42
Nick,12,0
Krissy,0,0
Petra,20,1
Justin-Adria,3,1
Adam,197,38
Brian,178,13
Leah,2,0
Jeff,144,7
Wendy,382,47
Laura,4,1
Matthew,1,1
Alex,34,7
S.,19,0
Melanie,12,2
Rusty,6,0
John,723,43
B,1,0
Jarrod,17,0
Diana,51,17
Jay,77,8
Alyssa,254,13
Liz,51,5
Rene,3,0
Kiri,12,3
Keila,9232,447
Dana,2634,104
Lisa,8,1
James,7,0
David,147,27
Megan,35,3
Oscar,0,0
Paul,5118,233
Dan,1462,58
rd,1,0
Jennifer,3,0
Shannon,1,1
Thanh,116,9
Rod,159,10
Maria,10,3
David,104,7
Vincent,2,1
Richey,78,2
Bryan,18,9
Lynn,15,1
Jordan,1,0
Micheala,16,0
Natasha,5,1
Siu-Tin,4,1
Marcel,0,1
Melanie,1,0
Dawn,0,0
Ana,3,1
Nicole,103,26
Leatrice,1,0
Esmy,0,0
Jessica,0,0
Kathee,3,0
Kelly,1,0
Tanya,0,0
Wendy,11,1
LouAnn,0,0
Christine,0,0
Sophie,4,1
Beverlyn,3,0
Misty,9,0
A,13,3
Sabrina,15,6
Jimmy,23,2
Laurence,0,4
Joel,1,0
Mike,9,0
Barry,24,1
Ben,62,14
Jessica,0,0
Vanessa,0,0
Mathanega,11,3
N,7,0
Shaan,17,5
James,5,0
Jay,1,0
Mina,12,0
J,9,2
Adrienne,1,0
Francesca,33,3
Jill,2,0
Monica,0,0
Hannah,3,0
Steven,28,2
S,1,1
Sew,10,0
Jen,16,2
Matthew,83,19
Weeb,2,1
Jessica,13,0
Lori,3,1
Dawn,0,0
Hannah,6,0
Allison,110,22
Mike,0,0
Allen,2,0
Douglas,7,1
Heather,6,1
Tom,18,0
Michele,3,0
Wayne,9,1
Rj,0,0
Gordon,0,0
Jeff,1,0
Robert,4,0
Serge,130,10
Mary,6,0
Mike,11,1
Alyssa,4,1
Kaisa,6,1
Sue,55,4
C,1,0
Shutopia,3,1
Mariona,0,0
I,1,0
M,4,0
Meg,1,0
China,9,1
Penguin,271,17
Priya,3,2
Kevin,3,0
Vincent,1,0
Gypsy,2,1
Amy,68,13
Howie,5,1
Walter,6,0
Kristin,1,0
Boonie,11,0
robert,1,0
Kara,8,0
Carls,0,0
Diana,859,78
Shruti,3,0
Greg,24,0
Charlie,15,2
Hamid,1,1
John,8,0
Phil,2,1
Macey,0,3
Andrew,3,1
Susie,1,0
Jeff,12,0
Kostas,31,2
Jane,25,7
Janet,2,0
David,105,2
Jenesis,1,1
Kayla,2,1
Azad,2,0
Gidget,36,4
Miranda,0,0
Chris,2,0
Tom,52,4
J. B.,2,0
Norbert,4,1
Luisa,5,7
Mike,272,14
Mark,97,2
E,25,3
Joyce,1116,34
Ron,6,0
James,1464,88
Seth,12,1
Ashleigh,3,0
James,2,0
Knickerbocker,8,0
Denise,209,22
Lydia,710,29
David,126,17
Denisa,458,130
GierriS,0,0
Ed,3,0
Pamela,13,4
Morgan,6,7
Dan,179,17
T,0,13
Ryan,47,1
Sal,9,1
Hilaree,2,0
Carla,10,6
Chris,19,2
Michael,2857,25
Amanda,69,59
Jerry,0,0
Karina,0,1
Yocelyn,2,2
C,2,0
Bill,62,3
Eddie,20,5
Jack,14,0
Stephanie,21,4
Marissa,150,19
Kim,45,12
Sunny,27,1
KB,8,2
Mane,169,48
Chelsea,9,0
Tom,15,0
Marci,9,0
Katy,8,0
Robert,7,1
Jim,9,0
Robert,8,2
Kayy,0,0
Jeffrey,12,1
Ciara,0,0
Jeff,14,0
Amber-Marie,18,3
Brian,1,0
Sara,126,4
Mika,76,6
DJ,46,8
Jonathan,1,0
Keysha,89,12
Francine,2,1
Kristy,19,0
Karla,0,1
Cynthia,15,1
Kayla,3,1
CJ,13,0
Mark,1,0
Keith,3,0
Susamoy,152,18
Tazh,5,0
Alexis,28,2
Julian,6106,127
Crista,115,13
Matthew,18,0
Debbie,7,0
Tito,2,2
Lindsay,4,2
Stuart,21,2
Lino,1,0
David,202,7
Shari,19,0
Patricia,4,0
Dale,17,1
Denise,114,9
Mariah,20,3
Rafael,24,2
Bj,138,6
Haley,2,0
Nicole,3,0
Belinda,4,0
Caitlin,0,1
Caroline,4,0
Mark,6,0
Jessica,0,0
Kellie,71,2
Luis,1,0
Tracy,2,0
Kat,47,2
S,30,1
Agata,3,0
Rob,12,1
Vern,446,33
Samantha,5,1
Alex,1,0
Vanessa,62,1
Melodie,255,19
Jesus,3,0
Nicki,0,0
Mark,22,4
Ellie,4,0
Emma,0,2
Kristina,4,1
Joe,3,0
Rachel,2,0
Jeff,5,0
Michele,2,1
Ronda,0,0
Sus...,1494,36
Steven,23,1
Jessica,32,6
Aliasa,14,1
Vieda,0,0
Chris,23,2
cecy,57,9
Marc,16,1
Shiho,9411,472
André,4,3
Kenny,341,38
Lele,10,0
Kerry,33,5
Jasmine,3,0
John,39,0
Patricia,2,1
Lori,6,0
Fran,0,0
Michael,5,0
Brian,2,0
Tim,2,2
Laura,3,0
Sweet Peaches,2,0
Mallory,8,1
Austine,7,1
Greg,4,0
Nick,0,0
Susan,30,1
Jose,2,1
Derrick,71,5
Michael,4,1
Melissa,3,0
Brittany,0,0
Susan,2,0
Joseph,1,0
Darwin,0,1
German,0,0
A.,1,0
Ryan,20,0
Kim,37,5
Justin,3,0
Angelo,8,0
Jordan,17,3
Beth,3,0
Bruce,4,1
Beth,4,0
Staci,0,0
Courtney,228,20
Jordan,1,0
Mary,6,0
Art,2,0
Arthur,41,0
Lauren,8,0
Sarah,1,0
Allon,29,2
Alicia,1,0
JJ,2,0
Michelle,0,0
Jennifer,3,0
Bill Kennedy,0,0
Alli,5,0
Bryan,1,1
Caroline,3,0
Brian,3,2
Kyle,4,0
Drew,17,0
Erin,21,1
Kevin,1,0
Susan,1,0
Ciara,12,1
Brittany,2,0
Katie,1,0
Lisa,1,0
Sylvio,7,3
Christine,0,0
Aaron,4,1
Kyle,3,1
Sam,2,2
Alex,38,0
Ace,74,4
Natalie,3,0
Sarah,4,0
Kim,4,0
Patty,9,1
Autum,10,2
Jesse,1,0
sean,0,0
Rada,4,1
Barney,9,0
XiaoFei,1,1
Debbie,4,0
Sonia,55,2
Ambrose,473,64
Matt,0,0
Rhee,26,9
Lola,14,0
Jehan,19,0
Alexis,2,2
Vanessa,2,0
Vivek,8,0
Ian,6,0
Lisa,7,3
Soren Lorenso,2,0
Shelly,2,0
H,0,0
Mobet,6,1
D.J.,10,1
Kimberley,39,1
Brenna,5,0
Marilyn,9,0
Nancy,1,0
Monica,2,0
Jackie,1,0
Dominique,0,1
Marie,2,0
Josh,2,1
Michael,1,1
Marj,1,0
Craig,5,1
AZ,17,0
Dawn,5,1
Jen,1,0
Walter,3,3
Lee,2,1
Michon,2,2
M,1,0
kevin,22,2
Russ,0,0
Melissa,12,0
Felicia,0,0
Kevin,1,0
B M,1,0
Ralph,0,0
Danny,2,1
Robert,13,1
lisa,3,0
Dustin,7,3
Jose,1,0
Jay,4,0
Charles,0,0
Sarah,165,16
J,1,0
Brittany,13,4
Ivory,7,0
Gracie,9,4
Julio,5,0
Matt,85,19
Dennis,13,1
Bill,7,1
Deuce,4,0
Mark,6,1
Marial,1,0
Cynthia,2,1
Liz,1,0
R,140,10
Jeni,4,0
Paula,1,1
Brad,0,0
Davine,5,1
Ursula,8,1
Jessica,1,2
Tom,9,0
Catherine,1,0
Julia,7,5
Jeremiah,19,0
Magbomb,1,0
Fiona,9,0
Alicia,8,0
Leona,18,4
Christopher,10,2
John,3,0
Susannah,315,29
Julienne,13,3
Aeryn,27,3
Matthew,1,0
Jason,38,4
Angie,0,0
Thor,38,6
sav,5,0
Richie,5,0
Summer,28,2
Andrea,27,3
Will,5,0
Ashley,27,0
Graham,0,0
Andrea,11,1
Andrei,0,0
Agata,74,5
DeAnne,31,1
Laura,172,10
Annika,3,1
Terrie,7,0
Charles,8,0
J,7,1
Angelique,14,2
Sheena,2,1
Dwight,23,1
Tricia,0,0
Lin,1,0
Cynthia,3,0
Leslee,3,3
Dave,4,1
Stacie,2,1
Steven,9,2
Ashley,17,2
Sasha,51,19
Marcie,0,0
Rebecca,18,3
Brooks,17,3
Maggie,0,1
Jason,2367,121
Marquita,10,1
Nicole,3,0
Jose,2,0
Jeffrey,1,1
Arriana,1,0
Stephanie,1,0
Tom,11,1
John,1,0
Karen,0,0
Tiffany,0,0
Trevor,2,0
TheNewTorontonia,34,1
Ashley,1,1
Sara,0,0
Myra,0,0
Stacelyn,57,6
Greg,0,0
Josh,67,3
Chad,0,0
Bill,8,3
Cristi,0,1
S A,29,0
Bill,0,0
John,4,2
Jodi,0,0
Andrew,14,7
Mike,0,0
Sam,0,1
Bonnie,0,1
Theresa,1,0
Angela,1,0
Taylor,0,0
Theresa,2,2
Hanna,0,0
Joshua,1,2
Jasmine,5,2
Zeta,1,0
Sandy,3,0
Monette,0,0
Lydia,5,3
Xiomara,1,1
Kimberly,5,1
Michelle,4,1
Jennifer,3,0
Tina,0,0
Lyra,15,2
Jazzy,8,1
Lady,4,0
Barbara,0,0
Ashley,3,2
David,0,0
Susan,10,1
Nancy,27,2
Caroline,0,1
Brian,42,6
Koren,1,0
Gary,22,0
Nicole,10,3
Kelsey,5,0
D,11,0
Kim,3,1
David Paul,2,0
Ashley,3,0
Spencer,0,0
Marquise,38,5
Christina,0,0
Terri,3,0
CheRich,15,5
Mursal,5,1
Melanie,0,0
Amber,3,1
Justin,0,0
Pedro,3,1
Troy,8,0
Mandy,29,0
Lyn,2,1
Julio,2,1
Kelli,2,1
Kerri,8,0
Scott,1,1
Bob,7,0
Jake,4,0
Bryan,0,0
Kelly,0,1
Paula,3,0
Tim,3,1
Charisma,1,3
Alex,3,0
Jeremy,3,0
Keslie,3,1
Alesha,7,0
Susan,44,14
Jordan,0,0
Frank,5,3
Melissa,0,0
Keith,0,0
Caz,7,0
Jennifer,1,1
Adrienne,23,0
Sally,2,0
Maura,9,0
David,9,2
Megan,1,2
Yelper,9,0
Tina,5,4
Melissa,6,2
Celi and Dan,3,1
Jessica,4,2
Andrew,27,4
Miriam,289,46
Alicia,48,9
Ana,2,0
Tatakaten,19,4
Kay,5,0
Linh,64,4
Craig,8,3
Paulina,3,0
Kate,15,1
Sarah,12,1
Jessica,8,1
Krista,2,0
Lori,8,0
Kelly,3,1
Lady,5,1
M,0,0
M.,4,0
Devon,3,0
Carina,1,1
Sharon,2,0
Sharon,3,2
Anna Nicole,19,1
Kristina,1,1
Carolyn,0,0
Robert F,1,0
Rajendra,36,3
Lin,10,0
Brian,23,0
Lyn,13,0
Nicole,1,0
Gayle,1,0
Jeff,0,0
Michelle,0,0
Crystal,0,0
Chelsea,6,0
Amber,1,0
Mary,5,0
Kyle,0,0
Odeth,8,3
John,3,0
Nathan,1,0
Michelle,0,0
Omar,11,0
Ashley,2,0
Susan,1,0
Lauren,2,2
Shauna,17,1
Ben,0,0
Bodie,4,1
Stacy,1,1
Leslie,17,3
Tori,1,1
Danielle,7,0
Stew,9,0
Jack,131,6
Mandy,18,6
Brandon,0,0
Tahnya,5,4
Kyle,4,0
Alison,81,13
Christopher,33,4
Heather,4,0
Natasha,11,6
Ellen,2,0
Fred,0,0
Harmony,2,0
Kristina,0,1
Eric,2,0
Karlly,3,0
Jon,0,0
Kennyatta,2,1
Roo,3,0
Andrea,225,25
Adina,1,0
Amy,1,1
Karen,8,0
Karen,0,0
Andrew,6,0
Haley,0,0
John,37,2
George,0,0
Joey,1,0
Chad,6,0
Jasmine,0,0
Chris,10,1
Shay,1,0
Kimberly,1,0
Dex,1,0
Spring,4,1
David,0,0
Nick,0,2
Larry,0,0
Wayne,39,2
Joshua,10,1
Carlo,6,1
Chad,2,0
Michele,1,0
tracy,11,0
Maria,7,0
Stephen,0,0
Pt,7,0
Allison,11,4
Joe,2,1
Ric,0,0
Sloane,0,0
Jeff,20,0
April,1,0
Sarah,0,0
Marla,20,2
Angela,8,0
Jill,30,1
Samantha,3,1
Patty,1,0
Erica,29,0
Katie,5,0
Jeff,4,0
Frank,1,1
Harley,6,1
Michael And Jamie,1,0
David,16,1
Kimberly,1,1
Jared,10,0
Gary,0,0
Paul,51,5
Neil,1,0
Brian,1,0
Maggie,8,0
Jeremy,28,5
Angelo,1,1
Michael,31,1
Jerry,0,0
Kurt,4,1
Preston,0,0
Tyler,2,0
Stephanie,1,1
Brittany,1,0
Ruth,0,0
Zoe,0,0
Kimberly,1,2
Mya,0,0
Colleen,1,0
Kenn,0,0
Kelly,0,0
Loretta,1,0
Helen,0,0
Jake,10,0
Kristal,18,2
Gary,0,0
Megan,0,0
Jessica,3,0
Paul,8,1
C,1,0
Jolene,12,0
Paige,3,1
J And J,0,0
Erica,2,2
Suzi,8,1
Phil,2,0
Jim,9,0
Jill,1,0
Sarah,4,0
Cesar,3,0
Brittany,4,1
johnny,4,0
Edna,5,3
Mike,2,1
Chris,14,1
Milton,10,0
Ray,1,0
bill,0,0
Edward,0,0
Conor,24,1
Paula,0,0
Emma,4,0
Carol,9,2
Kristi,21,0
Josepi,14,1
Brendan,0,0
Ashley,0,0
Clara,2,0
Sarah,0,0
Gene,17,1
Thomas,0,1
Shane,1,0
Kara,3,0
Kat,0,0
Bridget,42,14
Kirk,4,1
Carol,1,0
Nora,0,0
Caleb,0,0
Doug,1,1
Lindsay,6,1
Ivan,8,0
Nicholas,3,0
Alex,0,2
Allison,8,2
Sara,5,3
Genie,187,17
Sydney,16,5
William,2,1
Annie,0,0
Chris,1,0
Siana,294,19
M,20,10
Suzanne,1,1
Claudine,0,1
Mattie,5,0
Ed,16,0
Julie,1,0
Elaine,6,1
Carl,0,1
Liz,4,0
Jan,1,0
Kelle,9,0
Mona,18,1
Colette,25,4
Skylar,0,0
Christine,14,0
Mike,6,0
Todd,0,0
Cindy,0,1
PoliPace,7,2
Melody,2,0
Anna,2,4
Margo,7,2
Leanne,9,1
Patty,0,0
Mari,4,0
Amanda,0,0
John,6,0
Jodi,6,2
Joe,0,0
Northeast Ohio,3,0
Bronwyn,3,0
Ralph,0,0
John,3,0
Christina,3,0
Ammar,2,0
Lexia,2,0
Rita,2,0
Dustin,7,0
Donn,8,0
Shelby,0,0
Rebeca,0,0
Aziza,2,5
Jean,0,0
Dennis,0,0
Jon,4,2
Shelby,1,1
Chris,8,0
Lewis,1,0
Cathryn,16,3
Ann,9,1
Felisha,2,0
Anthony,7,2
Crystal,2,0
Alanna,3,4
Mike,1,0
Shar,5,0
Hannah,6,3
Susan,0,0
Stephanie,14,3
Linda,0,1
Inverness,5,0
Jennifer,170,14
Susan,5,0
Warren,91,7
Naz,131,5
Aprelle,3,3
Sonya,133,10
Stephanie,17,0
Frank,154,19
Isaac,9,0
James,13,4
Arbi,1119,27
Maki,79,7
Victor,88,5
Chris,1139,109
James,7,0
Mark,19,4
Linet,775,56
Jane,2,0
Christine,8,0
Arthur,329,23
Marie,3,0
Maria,2546,175
Din,5,0
Clyde,7,0
Lisa,16,0
Michael,38,0
Jose,4,0
Kathleen,535,21
Gabino,0,3
Nathaly,9,0
Mitzi,100,25
Lauren,2,0
Stella,0,1
Phil,1,0
Geoff,1,0
Jennifer,5,0
H,0,1
Edwin,13,0
Jim,0,0
Karen,0,1
P.,6,1
Andy,9,8
Mystek,1,0
Mendel,4,0
Andrew,1,1
Mattias,2,2
Audrey,11,3
S,0,0
Frankie,0,0
Braden,0,0
Warren,2,0
Lisa,1,1
Amanda,15,1
Kiki,10,0
Suvi,0,0
Eddie,1,0
Tahiyeh,1,0
Danielle,17,2
Kellie,4,0
Shanna,30,3
Aris,5,0
Kate,24,0
MJ,1,1
John,2,0
Jack,11,2
Brooke,2,0
Geoff,74,6
Elizabeth,1,0
Jong,4,0
Kevin,0,0
Shane,1,0
Marie,21,0
Sheila,1,0
Summer,19,7
Crystal,0,0
Liz,2,0
Chrissi,15,5
vivi lemon,1,0
Aaron,37,2
Jessica,2,1
Siobhaniche,1,0
Vladmiri,9,1
Cecilea,46,11
Sofie,1,0
Rye,1,0
Taylor,2,1
Mandy,62,11
Alexandra,21,0
Peter,5,1
Angela,1,0
JoVans,11,0
Zakasaurus,6,1
Brea,4,0
Tyler,1,0
Tina,0,0
Joe,4,1
Catherine,0,0
Laura,120,6
Brad,3,0
Lorna,61,1
E.,3,0
Kye,0,0
Christina,6,3
Andria,2,0
Veronica,1,1
Jessica,4,1
David,2,0
Cordale,3,1
Barbara,7,0
Julie,5,1
Gemma,2,2
D,4,1
Shamiran,4,1
Mike,2,1
Brendiita,3,1
William,4,0
Jeannine,10,0
Tye,1,2
Josh,14,0
Raquel,3,0
Mimi,2,1
Ryan,53,9
Paul,2,0
Jeff,0,0
Melinda,0,1
Lily,1,0
HarmonyRose,6,5
A,20,2
amy,4,0
Amber,0,0
Diane,1,0
Nicole,24,5
Han,3,0
Brittany,1,0
RoyandAmy,0,0
Megan,2,0
Melanie,13,1
Tara,6,0
McGowan,4,0
Aleymi,4,0
Francine,0,0
Lady,29,1
Bianca,1,0
Alexis Rozella,0,1
Kelly,1,0
Sue,2,0
Kak,50,1
Glenn,55,3
Adrian,0,0
Christina,0,0
Jay,23,2
Deege,0,1
Zei,1,0
Milliene,0,0
Channey,2,0
Jennifer,14,11
Anne,41,23
Dechen,25,6
Joyce,58,10
Bonnie,0,0
Kenelm,28,4
Karrie,11,4
Claudia,2,0
Sarah,1,1
Richard,22,31
Goldpiggy,3,0
Blake,0,0
Dorothy,45,4
Daisy,0,0
Joanne,2,0
Stanimir,21,1
D,1,0
Amy,20,9
Christine,9,2
Alice,0,0
Les,2,0
Sae Rom,6,2
Colleen,0,0
Susan,1,0
Ted,138,8
Kate,2,2
Anna,5,1
Tessa,0,0
Feng,10,2
Joshua,0,0
Jaysen,0,0
Mike,75,9
Judith,8,3
Reed,779,74
Katie,14,0
Keith,80,21
Amy,4,1
Reid,0,0
KeiKei,189,16
Courtney,3,0
Lakisha,38,3
Leeann,0,0
David,0,0
Mark,0,1
Megan,8,0
Brittany,4841,1268
Ginger,1,1
A.,13,0
Jeremy,2,0
Raymond,7,4
Carol,5,0
Jessie,31,1
Amir,16,0
Yelp,0,0
Steph,0,0
Maya,0,0
Jose,17,0
Tiffany,22,5
Mr.,2,0
jeremy,11,1
Marie-Pier,22,6
Kristy,0,0
Mike,10,0
Krys,0,0
Wa,0,0
Lisa,14,0
Kim,4,2
James,129,8
JoAnn,5,1
rob,1,0
Amelia,2,0
Mrs. S,3,1
Sandra,0,0
J.,48,3
Rebekah,54,3
Josh,1,1
Shane,2,1
Brian,1,0
Jose,81,2
Ashley,12,1
Lexy,6,1
Jessica,1,0
Holly,10,0
Dave,0,1
Alicia,15,0
Kelly,3,0
Alexandra,4,1
Julia,4,0
Sativa,4,1
Viet,2,0
Anne,8,1
Jo,26,3
Joe,45,6
Alma,2,0
Kevin,117,10
Lynne,24,1
Niki,17,3
Ryan,1,0
Jamie,6,0
Crystal,45,7
Jenny,6,1
Aimee,141,8
Jean,3,0
Sanvean,0,1
Chelsea,2,0
Vinit,47,4
Soraya,0,0
Wheeler,8,0
BandonAddict,12,1
t,20,2
Rebecca,4,4
Charlie,2,1
Jessica,1,0
Jamie,1,0
Dre,0,0
Sari,5,0
Robert,27,0
Nicky,3,0
Andrew,3,3
Elle,10,0
Kristen,25,0
Juleah,1,1
Nikki,10,2
Mike,4,0
Aimee,20,4
Mindee,24,3
Bret,12,1
Omid,34,5
Oscar,1,0
Joan,7,0
Amber,3,0
Leo,39,5
Leighanna,198,20
Bob,13,0
Marisa,62,6
Evgeny,25,2
Simone,319,32
Nina,5,0
Chuck,9,0
B,6,0
Ebony,3,0
Isabelle,1,0
C.J.,60,1
Erin,15,3
Brittany,16,11
Brian,23,0
Mimi,0,0
Mark,1,0
S,17,0
Jennifer,1,0
Doug,23,2
Amy,2,1
Ben,31,6
Brett,15,2
Lindsie,2,0
Raquel,6,0
Chad,4,0
Lori,0,0
J,0,0
Nancy,3,0
Bryan,2,0
Frugal,12,1
Megan,0,0
Elizabeth,27,3
John,0,2
Kelli,2,1
Hana,12,1
Sue,94,8
Anna,0,3
Tanya,70,10
Jenny,6,0
JOHN,24,0
Jay,31,6
Lauren,1,1
Lisa,12,2
Catherine,0,0
Mirabelle,39,15
Jim,13,2
Doug,0,0
Liz,5,1
Jasmine,8,1
Sara,3,0
Jasmine,3,1
Melanie,0,0
Shank,16,2
Fijabi,8,0
Scott,44,6
Genny,74,10
Ahmad,1,0
Stuart,8,0
Darvae,7,0
Clayton,2,0
Ralen,4,0
Crystal,1,0
Oksana,7,0
Anna,1,0
Jeremy,11,1
Melody,34,15
Mary,1,0
AJ,0,0
Alan,4,1
Ali,1,0
Dyna,17,2
Dana,26,9
Courtney,0,0
Emmy,8,0
Rachael,0,0
Samantha,10,6
Donna,3,0
Alexis,4,1
Virginia,33,2
Devin,4,1
Christopher,0,0
Ben,0,0
Tracy,1,0
